# nom: Empire Immo - M8
# description: Liste des bâtiments du monde 8
# taux_promoteur: 73
# mise_a_jour: 2026-07-28 08:00:07
# -----------------------------
type,nom,niveau,valeur,loyer,charge,impot,promotion,construction,embellissement,reparation
industriels,"Atelier équipé",2,249526,5401,665,219,0,162147,96159,73770
industriels,"Atelier high-tech",3,220962,9095,1155,495,0,255127,0,110483
industriels,"Entrepôt inexploitable",0,302620,0,0,283,17,611961,87354,62063
industriels,"Entrepôt utilisable",1,460106,16522,954,318,0,464772,86789,134436
industriels,"Entrepôt équipé",2,567799,19212,1033,422,0,564362,270998,240648
industriels,"Entrepôt intégralement optimisé",3,597174,23945,2614,961,0,563912,0,316838
industriels,"Usine inexploitable",0,1709218,0,0,898,0,1960776,382692,330768
industriels,"Usine utilisable",1,1984194,69977,5714,1242,0,2092511,4596000,840081
industriels,"Usine intégralement équipée",2,4745681,146340,10317,2526,0,4621589,15734466,1824235
industriels,"Usine high-tech",3,10931190,384031,34190,9340,0,10422254,0,4306443
industriels,"Centre industriel inexploitable",0,25103501,0,0,33694,0,23840285,9719195,8208424
industriels,"Centre industriel utilisable",1,33291739,1279215,120768,42727,0,33390234,22917077,13773713
industriels,"Centre industriel tout équipé",2,40342176,1363150,123227,46729,0,39051564,24069035,18880465
industriels,"Centre industriel high-tech",3,70015936,1850175,206546,58846,0,66770808,0,26621216
transport,"Réseau FreeCycl' 5 arrêts",0,1552993,0,0,3349,0,1955960,505811,335653
transport,"Réseau FreeCycl' 10 arrêts",1,2088172,93506,11254,5134,0,2200553,570209,821032
transport,"Réseau FreeCycl' 15 arrêts",2,2753063,125697,14877,6736,0,2709675,1060835,1245072
transport,"Réseau FreeCycl' 20 arrêts",3,4193132,165744,26106,11678,0,4807681,0,1851296
transport,"Réseau de bus 10 arrêts",0,6351728,0,0,11763,0,6787658,4447111,2116139
transport,"Réseau de bus 25 arrêts",1,9411174,383460,42954,18478,0,9532588,5283775,3706825
transport,"Réseau de bus 50 arrêts",2,13283040,636358,52001,23782,0,14490629,11718062,5777144
transport,"Réseau de bus 100 arrêts",3,25856579,745797,61286,30480,0,27891434,0,9296627
transport,"Réseau de métro 1 ligne",0,1015220983,0,0,11763,0,855759885,1869179032,310588749
transport,"Réseau de métro 2 lignes",1,1641291509,56367829,6537618,18478,0,1559436425,3168944319,618030889
transport,"Réseau de métro 3 lignes",2,2960974444,94331889,11658146,23782,0,2985370096,4158610022,1199107998
transport,"Réseau de métro 4 lignes",3,3951806312,146525482,14962634,30480,0,4164740409,0,1821667289
transport,"Gare avec 2 terminaux",0,568052454,0,0,922276,0,535957153,817821255,180834529
transport,"Gare avec 4 terminaux",1,879273562,38327364,3339938,1448654,0,863638942,656613254,343980040
transport,"Gare avec 10 terminaux",2,1785970342,60391795,7076693,3008472,0,1834614505,1637635229,725032485
transport,"Gare avec 20 terminaux",3,3623283731,112424942,11641451,5212751,0,3392810959,0,1326894203
transport,"Aéroport avec 1 piste",0,587910483,0,0,897274,0,596953966,904886858,195811549
transport,"Aéroport avec 3 pistes",1,1091287602,38327364,3339938,1448350,0,1318671783,1005945120,382879441
transport,"Aéroport avec 8 pistes",2,2805887116,60391795,7076693,2765303,0,2627847827,2236368677,837586106
transport,"Aéroport avec 15 pistes",3,6166613817,112424942,11641451,7353250,0,6422503343,0,1976672423
zones,"Plate-forme pétrolière vide",0,10054932365,0,0,44469085,0,11598943653,17686332185,3195193710
zones,"Plate-forme pétrolière aménagée",1,14997925146,855362689,111172712,93385078,0,18045523706,11433693126,5833271126
zones,"Plate-forme pétrolière améliorée",2,30957021940,1986220858,320177411,302389776,0,39919016380,19654576510,12341056176
zones,"Plate-forme pétrolière high-tech",3,56835789313,2996453885,409115580,391327946,0,51423066324,0,21607352076
zones,"Centre de recherche désaffecté",0,13797803026,0,0,44469085,0,15268434063,13777500399,4534035511
zones,"Centre de recherche régional",1,20279700892,1147213772,257920692,56920429,0,20210007450,72176642022,7361192240
zones,"Centre de recherche national",2,43972780139,2335137384,515841383,106725803,0,42263292096,86038955652,16758081467
zones,"Centre de recherche international",3,72385128626,3843847547,667036270,311283594,0,74524954705,0,30716050280
zones,"Zone portuaire désaffectée",0,124467906332,0,0,555863558,17,170372929440,85767684651,49281650331
zones,"Zone portuaire régionale",1,224955667688,10481473380,1667590677,833795338,0,259527642773,126793955904,87420225435
zones,"Zone portuaire nationale",2,343160399968,15329858064,2501386016,1250693008,0,384815437283,182176672602,145143508518
zones,"Zone portuaire internationale",3,506126504880,24425903958,3752079025,1876039512,0,710624258722,0,230953164762
zones,"Zone nucléaire désaffectée",0,749896823066,0,0,2779317795,0,827825875441,422487748932,246416363372
zones,"Zone nucléaire régionale",1,1124830554587,51883293228,8337953387,4168976694,0,1237070311710,598867767484,437113937644
zones,"Zone nucléaire nationale",2,1687193920409,76649290334,12506930081,6253465040,0,1916696488474,910552479950,723155626546
zones,"Zone nucléaire internationale",3,3271097500866,119686929395,18760395122,9380197561,0,3307995562697,0,1218845756465
zones,"Zone aérospatiale désaffectée",0,3749469688884,0,0,13896588978,0,4410481917527,2051353715115,1232080516297
zones,"Zone aérospatiale régionale",1,6678771484569,259416466143,41689766936,20844883468,0,6615722927891,3213846391091,2280484071687
zones,"Zone aérospatiale nationale",2,9339658009731,391067807827,62534650404,31267325202,0,10520458768470,5115708237328,3792024474332
zones,"Zone aérospatiale internationale",3,18586591702507,598434646975,93801975606,46900987803,0,15134074353900,0,6471274501117
zones,"Technopôle désaffecté",0,64530160748982,0,0,93801975606,0,41661774358545,55957455979200,12964740414475
zones,"Technopôle régional",1,161716195258437,3663885593733,469009878032,234504939016,0,116497370722868,165376757117599,41833249879588
zones,"Technopôle national",2,444390460831411,10771823645576,1407029634096,703514817048,0,333607394000818,439715441866750,1.2477054702985E+14
zones,"Technopôle international",3,1278982242483075,32315470936730,4221088902288,2110544451144,0,1022762670457789,0,3.6870541587998E+14
zones,"Technopôle millenium désaffecté",0,2710572934559948,0,0,5862623475400,17,1874489900204876,2229882769485068,6.8609611718928E+14
zones,"Technopôle millenium régional",1,7521895373379668,116412285178640,29313117377000,14656558688500,0,5255692611921688,6434574659486241,2.2132766834167E+15
zones,"Technopôle millenium national",2,24341692380795167,349271782714220,87939352131000,43969676065500,0,14971217745693465,18719212254187782,6.9546589455616E+15
zones,"Technopôle millenium international",3,60955810733048605,1025227096967500,263818056393000,131909028196500,0,42136282337547063,0,1.8314545008022E+16
zones,"Technopôle titanium désaffecté",0,77607906065776418,0,0,175878704262000,0,56385012307589808,69634406556390285,1.875006864793E+16
zones,"Technopôle titanium régional",1,234469183168186821,3852462991586800,879393521310000,439696760655000,0,159061404602664177,204832721019196438,6.5358594611775E+16
zones,"Technopôle titanium national",2,636197682714865020,10792498085869000,2638180563930000,1319090281965000,0,497200400923604143,594919236724858336,1.9913528449231E+17
zones,"Technopôle titanium international",3,1950245272543540243,31104432571406000,7914541691790000,3957270845895000,0,1375219586943224451,0,5.5087325191583E+17
zones,"Technopôle palacium désaffecté",0,2770535486093273613,0,0,5276361127860000,0,1657334665386542221,2021927935750152322,6.0230890680867E+17
zones,"Technopôle palacium régional",1,7613606093379097892,105829350162410000,26381805639300000,13190902819650000,0,4676765250844204714,6609454984261471474,2.052722439574E+18
zones,"Technopôle palacium national",2,2.0660894448624E+19,308240825715750000,79145416917900000,39572708458950000,0,14608070692327820994,17582319703603913110,6.207769893036E+18
zones,"Technopôle palacium international",3,5.2346877521272E+19,861724156149690000,237436250753700000,118718125376850000,0,42735947406948927105,0,1.6205465656789E+19
zones,"Mégapôle millenium désaffecté",0,1.7301953838712E+20,0,0,422108890228800000,17,138131471904669765329,181180410149102971181,4.6998011809691E+19
zones,"Mégapôle millenium régional",1,5.4419792782061E+20,8466348012992700000,2110544451144000000,1055272225572000000,0,414394416529545211464,564500505884058428514,1.5719094406244E+20
zones,"Mégapôle millenium national",2,1.6325937834618E+21,2.667905526827E+19,6331633353432000000,3165816676716000000,0,1192649287682536431411,1576585831629749107901,4.8776974082087E+20
zones,"Mégapôle millenium international",3,4.4983813843029E+21,7.6197132116934E+19,1.8994900060296E+19,9.497450030148E+18,0,3653748807927732477054,0,1.3155422083552E+21
